"iso3c","year","pop","urban","rural"
"ETH",1995,57476536,7900902.65704252,49241049.68678
"ETH",1996,59347649,8258105.97821659,50704870.3816389
"ETH",1997,61233480,8613627.70824066,52105974.9666359
"ETH",1998,63136493,8974053.43689267,53479311.465716
"ETH",1999,65077579,9343747.71378634,54861615.5496504
"ETH",2000,67031867,9734599.201899,56311187.1850444
"ETH",2001,69018932,10145943.8404524,57823147.0750663
"ETH",2002,71073215,10571741.8861663,59355698.4864129
"ETH",2003,73168838,11012453.4436368,60916010.3649589
"ETH",2004,75301026,11465974.9788801,62487086.1122131
"ETH",2005,77469940,11930478.3506996,64060706.4753116
"ETH",2006,79691050,12403853.8330214,65615951.4148703
"ETH",2007,81996185,12895404.8288954,67120512.9848419
"ETH",2008,84357105,13543172.0896539,68486008.795584
"ETH",2009,86755585,14220971.5259254,69876127.8827179
"ETH",2010,89237791,14927766.0514927,71266839.6509277
"ETH",2011,91817929,15661980.2435317,72648247.3700752
"ETH",2012,94451280,16431221.1756156,74048157.5686428
"ETH",2013,97084366,17226083.2913097,75513284.9505347
"ETH",2014,99746766,18055511.7145352,76986546.6515476
"ETH",2015,102471895,18910900.5840089,78429117.6619697
"ETH",2016,105293228,19784598.3884168,79807508.4183002
"ETH",2017,108197950,20678669.8454083,81136399.3310409
"ETH",2018,111129438,21605809.6145506,82451013.0700022
"ETH",2019,114120594,22559607.0767034,83728993.4277769
"ETH",2020,117190911,23537861.3704948,84956833.0772682
"ETH",2021,120283026,24551995.8900934,86170885.4581028
"ETH",2022,123379924,25602455.9960014,87376574.7335037
"ETH",2023,126527060,26681394.1618496,88538141.3351421
"ETH",2024,129719719,27787535.6174646,89653908.9172711
"ETH",2025,132938555,28923290.4630263,90727885.2248695
"ETH",2026,136180141,30090294.7368809,91763574.719753
"ETH",2027,139439745,31287457.5035977,92758841.6631141
"ETH",2028,142715864,32514629.817187,93713383.3558966
"ETH",2029,146003944,33774497.3176889,94628611.0325896
"ETH",2030,149296378,35065763.7521521,95505015.3996368
"ETH",2031,152585021,36391654.7614461,96350163.4803327
"ETH",2032,155874633,37748738.5647926,97153905.2797642
"ETH",2033,159160258,39138077.3961801,97919431.1182883
"ETH",2034,162438815,40558068.7288318,98641651.7382253
"ETH",2035,165715492,42007548.5036728,99319113.3150062
"ETH",2036,168986410,43484109.2487852,99948315.8556951
"ETH",2037,172252603,44987584.9597466,100530423.171602
"ETH",2038,175514171,46516276.8879785,101063415.489112
"ETH",2039,178779627,48068576.6561086,101547326.732033
"ETH",2040,182052579,49639311.9814029,101977146.695626
"ETH",2041,185332694,51228847.6743342,102356648.665561
"ETH",2042,188613575,52834117.9260295,102688916.092068
"ETH",2043,191902756,54448804.5445267,102972428.535628
"ETH",2044,195196696,56083500.2555576,103194326.993117
"ETH",2045,198485649,57736391.2037792,103360996.189704
"ETH",2046,201764870,59408578.9067245,103475332.574001
"ETH",2047,205033875,61096275.588607,103536242.213634
"ETH",2048,208297232,62797165.1298756,103538962.870136
"ETH",2049,211557468,64508901.3827675,103482286.713698
"ETH",2050,214812309,66229338.7945474,103366887.18336
"KEN",1990,23162269,3959561.90647816,19684650.325061
"KEN",1991,23918235,4166100.88495242,20278528.9131911
"KEN",1992,24655723,4383126.62743656,20893004.8411073
"KEN",1993,25391830,4608812.20455556,21512523.5164224
"KEN",1994,26133744,4841730.06362961,22129124.2081502
"KEN",1995,26878347,5080889.98181324,22740899.6542831
"KEN",1996,27615736,5330802.69886705,23359720.1247868
"KEN",1997,28364264,5585771.16614061,23970226.3383249
"KEN",1998,29137373,5846038.96857826,24568280.1603288
"KEN",1999,29965129,6108740.59644462,25139581.4114466
"KEN",2000,30851606,6377340.61559064,25682659.7616993
"KEN",2001,31800343,6649315.826562,26202898.5033275
"KEN",2002,32779823,6929584.27505847,26724343.5085052
"KEN",2003,33767122,7227049.13969275,27271750.0472797
"KEN",2004,34791836,7534829.43527326,27825639.1815597
"KEN",2005,35843010,7857683.38094373,28396478.9787465
"KEN",2006,36925253,8196036.89648382,28983145.1662633
"KEN",2007,38036793,8550046.63510933,29585224.0224353
"KEN",2008,39186895,8917368.26814168,30193773.3775539
"KEN",2009,40364444,9298548.39571183,30811409.9874632
"KEN",2010,41517895,9707583.92254713,31475200.0312155
"KEN",2011,42635144,10148613.7351852,32190757.019608
"KEN",2012,43725806,10619582.2668197,32946757.3908186
"KEN",2013,44792368,11122592.9828046,33739065.7935298
"KEN",2014,45831863,11656916.4993358,34562034.3864267
"KEN",2015,46851488,12219728.0052237,35405956.1352673
"KEN",2016,47894670,12800855.7528426,36235194.4798868
"KEN",2017,48948137,13403772.6502236,37059639.2667611
"KEN",2018,49953304,14047062.2723974,37921560.28358
"KEN",2019,50951450,14719189.4440688,38790695.4561646
"KEN",2020,51985780,15408881.0440086,39632979.7109902
"KEN",2021,53005614,16131812.5472521,40484038.7661579
"KEN",2022,54027487,16883512.0907993,41331128.2458871
"KEN",2023,55100586,17648514.3914803,42136440.0734323
"KEN",2024,56203030,18435833.2637938,42918034.7394082
"KEN",2025,57323930,19249856.665445,43683092.4362653
"KEN",2026,58457378,20091500.0669377,44437065.0698702
"KEN",2027,59604431,20962223.4293286,45175171.5572958
"KEN",2028,60762923,21861432.3738178,45898236.7257085
"KEN",2029,61929863,22791326.6980746,46607363.3006422
"KEN",2030,63103942,23750745.7141109,47300942.3088022
"KEN",2031,64284466,24740754.6638094,47976558.427039
"KEN",2032,65470260,25760846.3140363,48636042.9147524
"KEN",2033,66655944,26812171.6946954,49277982.9807826
"KEN",2034,67839692,27896056.0434148,49905336.3921523
"KEN",2035,69018977,29010111.7552061,50514906.3568415
"KEN",2036,70186445,30155574.9119363,51114043.8157254
"KEN",2037,71342689,31335031.2601758,51695357.8102446
"KEN",2038,72493659,32544455.0950311,52258239.8413632
"KEN",2039,73634414,33785076.2009188,52800838.6947983
"KEN",2040,74757978,35057869.7299705,53328367.3750513
"KEN",2041,75866827,36363227.3167296,53837726.731342
"KEN",2042,76961167,37697948.3692081,54325504.6535352
"KEN",2043,78039853,39066507.3651535,54795322.3848333
"KEN",2044,79104471,40466542.8835242,55243447.3141221
"KEN",2045,80156601,41896501.4497059,55669666.0079187
"KEN",2046,81195005,43358470.2901367,56073531.7646695
"KEN",2047,82219527,44850201.157202,56455419.6474519
"KEN",2048,83230070,46373205.068793,56814079.6349204
"KEN",2049,84227657,47924011.3731289,57147384.3086957
"KEN",2050,85211739,49502679.3784833,57453805.678112
"MDG",1990,11882762,2667505.584981,8652556.5352567
"MDG",1991,12245260,2808675.35683195,8837575.02903164
"MDG",1992,12623342,2958474.54659788,9028414.58307951
"MDG",1993,13020100,3116402.79260528,9224591.20897689
"MDG",1994,13436121,3245324.97139613,9462694.62741516
"MDG",1995,13869138,3377217.81988181,9714844.9312423
"MDG",1996,14317454,3518123.33393912,9982420.05876184
